SiteA,SiteB,Distance
IC3,IC2,0.245785544
IC3,IC1,0.60517467
IC3,RGD1,3.811007973
IC3,RGU1,3.880376111
IC3,ORSI,4.411237279
IC3,GL1,5.801902193
IC3,CVP1,6.016378856
IC3,ORS1,7.068161092
IC3,ORN2,5.719712968
IC3,ORN1,5.127899346
IC3,WC1,4.490777204
IC3,WC2,5.268911707
IC3,WC3,6.206717545
IC2,IC1,0.359389126
IC2,RGD1,3.56522243
IC2,RGU1,3.634590568
IC2,ORS1,4.165451734
IC2,GL1,5.556116653
IC2,CVP1,5.770593313
IC2,ORN1,4.882113802
IC2,ORN2,5.473927424
IC2,WC1,4.24499166
IC2,WC2,5.023126163
IC2,WC3,5.960932001
IC1,RGD1,3.205833304
IC1,RGU1,3.275201441
IC1,ORS1,3.806062608
IC1,CVP1,5.411204187
IC1,ORS3,6.462986422
IC1,GL1,5.196727527
IC1,ORN1,4.522724676
IC1,ORN2,5.114538298
IC1,WC1,3.885602534
IC1,WC2,4.663737037
IC1,WC3,5.601542875
RGD1,RGU1,0.069368138
RGD1,ORS1,0.600229304
RGD1,CVP1,2.205370884
RGD1,GL1,1.990894224
RGD1,ORS3,3.257153118
RGD1,ORN1,1.316891372
RGD1,ORN2,1.908704995
RGD1,WC3,2.395709572
RGD1,WC2,1.457903734
RGD1,WC1,0.67976923
RGU1,ORS1,0.530861166
RGU1,CVP1,2.136002746
RGU1,GL1,1.921526086
RGU1,ORS3,3.18778498
RGU1,ORN1,1.247523235
RGU1,ORN2,1.839336857
RGU1,WC1,0.610401092
RGU1,WC2,1.388535596
RGU1,WC3,2.326341434
WC3,WC2,0.937805838
WC3,WC1,1.715940342
WC3,ORS1,2.187111174
WC3,ORN1,2.860103996
WC3,ORN2,3.495586865
WC3,GL1,3.577776094
WC3,CVP1,3.792252754
WC3,ORS3,4.844034989
WC2,WC1,0.778134503
WC2,ORS1,1.249305336
WC2,CVP1,2.854446916
WC2,ORS3,3.90622915
WC2,GL1,2.639970256
WC2,ORN1,1.965967405
WC2,ORN2,2.557781027
WC1,ORS1,0.471170833
WC1,CVP1,2.076312412
WC1,ORS3,3.128094647
WC1,GL1,1.861835752
WC1,ORN1,1.187832901
WC1,ORN2,1.779646524
ORS1,ORN1,0.903854348
ORS1,ORN2,1.49566797
ORS1,GL1,1.39066492
ORS1,ORS3,2.656923814
ORS1,CVP1,1.60514158
ORN2,ORN1,0.613648226
ORN2,GL1,2.88633289
ORN2,CVP1,3.10080955
ORN2,ORS3,3.10080955
ORN1,GL1,2.294519268
ORN1,ORS3,3.560778162
ORN1,CVP1,2.508995928
CVP1,ORS3,1.485205158
CVP1,GL1,1.737775319
ORS3,GL1,2.789557554
IC2,IC3,0.245785544
IC1,IC3,0.60517467
RGD1,IC3,3.811007973
RGU1,IC3,3.880376111
ORSI,IC3,4.411237279
GL1,IC3,5.801902193
CVP1,IC3,6.016378856
ORS1,IC3,7.068161092
ORN2,IC3,5.719712968
ORN1,IC3,5.127899346
WC1,IC3,4.490777204
WC2,IC3,5.268911707
WC3,IC3,6.206717545
IC1,IC2,0.359389126
RGD1,IC2,3.56522243
RGU1,IC2,3.634590568
ORS1,IC2,4.165451734
GL1,IC2,5.556116653
CVP1,IC2,5.770593313
ORN1,IC2,4.882113802
ORN2,IC2,5.473927424
WC1,IC2,4.24499166
WC2,IC2,5.023126163
WC3,IC2,5.960932001
RGD1,IC1,3.205833304
RGU1,IC1,3.275201441
ORS1,IC1,3.806062608
CVP1,IC1,5.411204187
ORS3,IC1,6.462986422
GL1,IC1,5.196727527
ORN1,IC1,4.522724676
ORN2,IC1,5.114538298
WC1,IC1,3.885602534
WC2,IC1,4.663737037
WC3,IC1,5.601542875
RGU1,RGD1,0.069368138
ORS1,RGD1,0.600229304
CVP1,RGD1,2.205370884
GL1,RGD1,1.990894224
ORS3,RGD1,3.257153118
ORN1,RGD1,1.316891372
ORN2,RGD1,1.908704995
WC3,RGD1,2.395709572
WC2,RGD1,1.457903734
WC1,RGD1,0.67976923
ORS1,RGU1,0.530861166
CVP1,RGU1,2.136002746
GL1,RGU1,1.921526086
ORS3,RGU1,3.18778498
ORN1,RGU1,1.247523235
ORN2,RGU1,1.839336857
WC1,RGU1,0.610401092
WC2,RGU1,1.388535596
WC3,RGU1,2.326341434
WC2,WC3,0.937805838
WC1,WC3,1.715940342
ORS1,WC3,2.187111174
ORN1,WC3,2.860103996
ORN2,WC3,3.495586865
GL1,WC3,3.577776094
CVP1,WC3,3.792252754
ORS3,WC3,4.844034989
WC1,WC2,0.778134503
ORS1,WC2,1.249305336
CVP1,WC2,2.854446916
ORS3,WC2,3.90622915
GL1,WC2,2.639970256
ORN1,WC2,1.965967405
ORN2,WC2,2.557781027
ORS1,WC1,0.471170833
CVP1,WC1,2.076312412
ORS3,WC1,3.128094647
GL1,WC1,1.861835752
ORN1,WC1,1.187832901
ORN2,WC1,1.779646524
ORN1,ORS1,0.903854348
ORN2,ORS1,1.49566797
GL1,ORS1,1.39066492
ORS3,ORS1,2.656923814
CVP1,ORS1,1.60514158
ORN1,ORN2,0.613648226
GL1,ORN2,2.88633289
CVP1,ORN2,3.10080955
ORS3,ORN2,3.10080955
GL1,ORN1,2.294519268
ORS3,ORN1,3.560778162
CVP1,ORN1,2.508995928
ORS3,CVP1,1.485205158
GL1,CVP1,1.737775319
GL1,ORS3,2.789557554
IC3,IC3,0
IC2,IC2,0
IC1,IC1,0
RGD1,RGD1,0
RGU1,RGU1,0
ORS1,ORS1,0
GL1,GL1,0
CVP1,CVP1,0
ORN1,ORN1,0
ORN2,ORN2,0
WC1,WC1,0
WC2,WC2,0
WC3,WC3,0
ORS3,ORS3,0
